Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
5;2015;1175;McCown, Josh;QB;cle;a;bal;35.48;6700
5;2015;1225;Manning, Eli;QB;nyg;h;sfo;29.74;7700
5;2015;1442;Bortles, Blake;QB;jac;a;tam;29.22;6900
5;2015;1403;Dalton, Andy;QB;cin;h;sea;28.04;7300
5;2015;1131;Brady, Tom;QB;nwe;a;dal;25.3;8800
5;2015;1302;Flacco, Joe;QB;bal;h;cle;24.6;7700
5;2015;1400;Taylor, Tyrod;QB;buf;a;ten;22.86;7500
5;2015;1231;Rivers, Philip;QB;sdg;h;pit;21.6;7500
5;2015;1336;Hoyer, Brian;QB;hou;h;ind;20.88;6500
5;2015;1404;Kaepernick, Colin;QB;sfo;a;nyg;20.78;7100
5;2015;1344;Bradford, Sam;QB;phi;h;nor;19.62;7500
5;2015;1207;Palmer, Carson;QB;ari;a;det;18.34;8100
5;2015;1263;Cutler, Jay;QB;chi;a;kan;17.58;7400
5;2015;1252;Rodgers, Aaron;QB;gnb;h;stl;17.54;9200
5;2015;1151;Brees, Drew;QB;nor;a;phi;16.3;8100
5;2015;1060;Hasselbeck, Matt;QB;ind;a;hou;16.22;5700
5;2015;1465;Winston, Jameis;QB;tam;h;jac;15.26;6400
5;2015;1412;Wilson, Russell;QB;sea;a;cin;13.62;8200
5;2015;1155;Vick, Michael;QB;pit;a;sdg;13.52;6500
5;2015;1254;Smith, Alex;QB;kan;h;chi;13.34;6900
5;2015;1466;Mariota, Marcus;QB;ten;h;buf;11.18;7400
5;2015;1441;Carr, Derek;QB;oak;h;den;10.86;6700
5;2015;1415;Cousins, Kirk;QB;was;a;atl;10.86;6400
5;2015;1249;Orlovsky, Dan;QB;det;h;ari;10.64;5200
5;2015;1340;Stafford, Matthew;QB;det;h;ari;8.72;7000
5;2015;1081;Manning, Peyton;QB;den;a;oak;8.64;8200
5;2015;1411;Weeden, Brandon;QB;dal;h;nwe;8.32;6400
5;2015;1301;Ryan, Matt;QB;atl;h;was;8.16;8300
5;2015;1413;Foles, Nick;QB;stl;a;gnb;5.84;6400
5;2015;1401;Mallett, Ryan;QB;hou;h;ind;1;6500
5;2015;1290;Stanton, Drew;QB;ari;a;det;0.1;5200
5;2015;1421;Manuel, E.J.;QB;buf;a;ten;0;5500
5;2015;1227;McCown, Luke;QB;nor;a;phi;0;5800
5;2015;1452;Garoppolo, Jimmy;QB;nwe;a;dal;-0.2;5000
5;2015;2858;Martin, Doug;RB;tam;h;jac;35.3;6400
5;2015;2930;Freeman, Devonta;RB;atl;h;was;29.2;7600
5;2015;2642;Forsett, Justin;RB;bal;h;cle;25;7200
5;2015;5402;Rawls, Thomas;RB;sea;a;cin;22.9;6000
5;2015;2831;Murray, DeMarco;RB;phi;h;nor;21.5;7400
5;2015;2830;Vereen, Shane;RB;nyg;h;sfo;21;5600
5;2015;2888;Bell, Le'Veon;RB;pit;a;sdg;20.7;9000
