GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
5215;WR;Wheaton, Markus;pit;cin;H;4800;0;39.2;7;5.6;1.17;2.6;11;
2927;RB;Sankey, Bishop;ten;hou;A;5200;-100;39.2;6;6.53;1.26;0;4;
6159;K;Prater, Matt;det;kan;A;4600;100;39;7;5.57;1.21;7;9;
5130;WR;Harris, Dwayne;nyg;no;A;5000;0;39;7;5.57;1.11;11.3;11;
6211;K;Sturgis, Caleb;phi;;H;0;-4900;39;4;9.75;0;12;8;
4569;TE;Ertz, Zach;phi;;H;0;-5000;39;7;5.57;0;8.8;8;
7022;D;Oakland;oak;nyj;H;4100;-300;39;6;6.5;1.59;4;6;
2880;RB;Dunbar, Lance;dal;sea;H;0;0;38.7;4;9.68;0;0;6;
1411;QB;Weeden, Brandon;dal;sea;H;6400;0;38.56;4;9.64;1.51;0;6;
3898;WR;Cooper, Riley;phi;;H;0;-5300;38;5;7.6;0;0;8;
4411;TE;Tamme, Jacob;atl;tam;H;4800;-300;37.6;6;6.27;1.31;5.1;10;
2892;RB;Ellington, Andre;ari;cle;A;5400;200;37.2;4;9.3;1.72;6.4;9;
4533;TE;Cameron, Jordan;mia;ne;A;5500;0;36.8;6;6.13;1.12;3.3;5;
2871;RB;Morris, Alfred;was;;H;0;-5600;36.1;7;5.16;0;1.2;8;
5159;WR;Sanu, Mohamed;cin;pit;A;5000;5000;35.4;6;5.9;1.18;0;7;
6037;K;Vinatieri, Adam;ind;car;A;4800;-200;35;7;5;1.04;3;10;
5153;WR;Jeffery, Alshon;chi;min;H;7700;7700;35;2;17.5;2.27;0;7;
6237;K;Franks, Andrew;mia;ne;A;4500;0;35;6;5.83;1.3;10;5;
2924;RB;Anderson, C.J.;den;gb;H;6300;6300;34.5;6;5.75;0.91;0;7;
5392;WR;Montgomery, Ty;gb;den;A;5600;5600;34.5;6;5.75;1.03;0;7;
3748;WR;Royal, Eddie;chi;min;H;5100;5100;34.4;5;6.88;1.35;0;7;
3824;WR;Britt, Kenny;stl;sfo;H;5000;-200;34.4;6;5.73;1.15;4.6;6;
2940;RB;Andrews, Antonio;ten;hou;A;5300;-100;34.2;4;8.55;1.61;5.7;4;
4311;TE;Miller, Heath;pit;cin;H;5000;-200;33.3;7;4.76;0.95;0;11;
2960;RB;Blue, Alfred;hou;ten;H;6500;1500;33.1;6;5.52;0.85;0.8;9;
5140;WR;Hawkins, Andrew;cle;ari;H;4800;0;32.7;7;4.67;0.97;3.1;11;
2879;RB;Polk, Chris;hou;ten;H;5300;500;32.7;7;4.67;0.88;2.8;9;
5070;WR;Walters, Bryan;jac;;H;0;-5200;32.3;6;5.38;0;1;8;
5252;WR;Watkins, Sammy;buf;;H;0;-6300;32.2;4;8.05;0;0;8;
7027;D;San Francisco;sfo;stl;A;4000;0;32;7;4.57;1.14;10;10;
1155;QB;Vick, Michael;pit;cin;H;6500;0;31.74;5;6.35;0.98;0;11;
2520;RB;Jackson, Fred;sea;dal;A;6100;0;31.7;7;4.53;0.74;5.5;9;
1060;QB;Hasselbeck, Matt;ind;car;A;6100;0;31.6;2;15.8;2.59;0;10;
3571;WR;White, Roddy;atl;tam;H;5200;-300;31.6;6;5.27;1.01;6.3;10;
3602;WR;Colston, Marques;no;nyg;H;5100;0;31.5;6;5.25;1.03;2.5;11;
2908;RB;Juszczyk, Kyle;bal;sdg;H;4500;0;31.5;7;4.5;1;9.5;9;
2911;RB;Cunningham, Benny;stl;sfo;H;4900;-500;31.5;6;5.25;1.07;3.4;6;
4609;TE;Fells, Darren;ari;cle;A;4600;0;31.1;5;6.22;1.35;0;9;
6225;K;Boswell, Chris;pit;cin;H;4500;-100;31;3;10.33;2.3;7;11;
3610;WR;Austin, Miles;phi;;H;0;-5200;30;7;4.29;0;7.2;8;
6169;K;Succop, Ryan;ten;hou;A;4500;-100;30;6;5;1.11;1;4;
7032;D;Houston;hou;ten;H;4700;-100;30;7;4.29;0.91;2;9;
4602;TE;Seferian-Jenkins, Austin;tam;atl;A;5200;0;29.4;2;14.7;2.83;0;6;
2819;RB;Powell, Bilal;nyj;oak;A;5200;0;29.3;5;5.86;1.13;0;5;
2987;RB;West, Charcandrick;kan;det;H;6600;700;29;5;5.8;0.88;19.9;9;
6234;K;Brindza, Kyle;tam;atl;A;0;0;29;4;7.25;0;0;6;
2647;RB;Tolbert, Mike;car;ind;H;5200;400;28.7;6;4.78;0.92;14.3;5;
5163;WR;Beasley, Cole;dal;sea;H;5200;0;28.4;6;4.73;0.91;-2;6;
5200;WR;Bailey, Stedman;stl;sfo;H;4500;-400;27.9;6;4.65;1.03;1.3;6;
5385;WR;Conley, Chris;kan;det;H;5300;500;27.9;5;5.58;1.05;15.3;9;
4335;TE;Daniels, Owen;den;gb;H;4700;4700;27.5;6;4.58;0.98;0;7;
5362;WR;Brown, Corey;car;ind;H;4700;0;27.5;6;4.58;0.98;5.3;5;
4564;TE;Celek, Garrett;sfo;stl;A;4500;0;27.4;7;3.91;0.87;1.3;10;
6088;K;Scobee, Josh;pit;cin;H;0;0;27;4;6.75;0;0;11;
4327;TE;Fasano, Anthony;ten;hou;A;4500;-500;27;6;4.5;1;3.6;4;
6166;K;Barth, Connor;tam;atl;A;4800;-100;27;2;13.5;2.81;13;6;
5261;WR;Huff, Josh;phi;;H;0;-5300;26.6;5;5.32;0;1.5;8;
5384;WR;Dorsett, Phillip;ind;car;A;5200;0;26.6;7;3.8;0.73;1.3;10;
1438;QB;Manziel, Johnny;cle;ari;H;6600;100;26.34;3;8.78;1.33;1.58;11;
5339;WR;Wilson, Albert;kan;det;H;4500;0;25.8;5;5.16;1.15;8.6;9;
5212;WR;Stills, Kenny;mia;ne;A;4500;-500;25.7;5;5.14;1.14;0;5;
5361;WR;Gabriel, Taylor;cle;ari;H;4900;0;25.7;7;3.67;0.75;1.5;11;
