GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
5428;WR;Marquez, Bradley;stl;min;A;4500;0;1;1;1;0.22;1;6;
4371;TE;Spaeth, Matt;pit;oak;H;4500;0;0.9;2;0.45;0.1;0.9;11;
2869;RB;Cadet, Travaris;ne;was;H;4500;0;0.7;1;0.7;0.16;0;4;
2909;RB;Coleman, Derrick;sea;;H;0;-4500;0.7;2;0.35;0;0;9;
4595;TE;Gray, Marqueis;buf;mia;H;4500;4500;0.7;1;0.7;0.16;0;8;
5405;RB;Grant, Corey;jac;nyj;A;4500;4500;0.5;5;0.1;0.02;0;8;
1298;QB;Moore, Matt;mia;buf;A;5400;0;0.36;1;0.36;0.07;0;5;
4450;TE;Johnson, David;sdg;chi;H;4500;0;0.2;2;0.1;0.02;0;10;
2917;RB;Wood, Cierre;buf;mia;H;4500;4500;0.2;2;0.1;0.02;0;8;
1334;QB;Daniel, Chase;kan;;H;0;-5000;0.16;1;0.16;0;0.16;9;
3661;WR;Bowe, Dwayne;cle;cin;A;4500;-400;0;3;0;0;0;11;
3678;WR;Jones, Jacoby;sdg;chi;H;4500;0;0;5;0;0;0;10;
3760;WR;Slater, Matthew;ne;was;H;4500;0;0;1;0;0;0;4;
3770;WR;Jackson, DeSean;was;ne;A;5600;5600;0;1;0;0;0;8;
2692;RB;Peerman, Cedric;cin;cle;H;4500;0;0;1;0;0;0;7;
5071;QB;Webb, Joe;car;gb;H;4800;0;0;1;0;0;0;5;
2857;RB;James, LaMichael;mia;buf;A;4500;0;0;1;0;0;0;5;
2878;RB;Lane, Jorvorskie;tam;nyg;H;4500;0;0;1;0;0;0;6;
2887;RB;Barner, Kenjon;phi;dal;A;4500;4500;0;1;0;0;0;8;
5239;WR;Golden, Brittan;ari;;H;0;-4500;0;3;0;0;0;9;
4614;TE;Helfet, Cooper;sea;;H;0;-4500;0;1;0;0;0;9;
5268;WR;Latimer, Cody;den;ind;A;4500;0;0;1;0;0;0;7;
5271;RB;Archer, Dri;pit;oak;H;4500;0;0;6;0;0;0;11;
5310;WR;Norwood, Kevin;car;gb;H;4500;0;0;1;0;0;0;5;
1290;QB;Stanton, Drew;ari;;H;0;-5200;-0.2;2;-0.1;0;0;9;
1423;QB;Renfree, Sean;atl;sfo;A;4800;0;-0.4;1;-0.4;-0.08;0;10;
1452;QB;Garoppolo, Jimmy;ne;was;H;5000;0;-0.4;2;-0.2;-0.04;0;4;
2860;RB;Pead, Isaiah;stl;min;A;4500;0;-1.7;1;-1.7;-0.38;0;6;
5109;WR;Moore, Denarius;buf;mia;H;4500;4500;-2;3;-0.67;-0.15;0;8;
