GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
5182;WR;Matthews, Rishard;mia;dal;H;6400;400;110.1;9;12.23;1.91;12.2;5;
5151;WR;Hilton, T.Y.;ind;atl;A;7200;7200;109.8;9;12.2;1.69;0;10;
2899;RB;Murray, Latavius;oak;det;A;6800;100;108.1;9;12.01;1.77;10.2;6;
3328;WR;Smith, Steve;bal;stl;H;0;0;108;7;15.43;0;0;9;
6079;K;Brown, Josh;nyg;;H;0;-4800;108;10;10.8;0;16;11;
5199;WR;Austin, Tavon;stl;bal;A;6000;0;108;9;12;2;3.3;6;
5125;WR;Cobb, Randall;gb;min;A;7100;-600;107.3;9;11.92;1.68;7.5;7;
2613;RB;Forte, Matt;chi;den;H;7800;100;107.2;7;15.31;1.96;0;7;
1081;QB;Manning, Peyton;den;chi;A;7300;-400;105.8;9;11.76;1.61;-2.6;7;
2500;RB;Williams, DeAngelo;pit;;H;0;-7600;105.6;10;10.56;0;7.4;11;
2642;RB;Forsett, Justin;bal;stl;H;6900;-200;104.3;9;11.59;1.68;8.4;9;
2467;RB;Gore, Frank;ind;atl;A;6600;6600;103.4;9;11.49;1.74;0;10;
2816;RB;Lewis, Dion;ne;buf;H;0;0;102.2;7;14.6;0;0;4;
7028;D;Seattle;sea;sfo;H;5400;500;100;9;11.11;2.06;11;9;
2721;RB;Blount, LeGarrette;ne;buf;H;7300;400;99.6;8;12.45;1.71;14.7;4;
2889;RB;Bernard, Giovani;cin;ari;A;6300;0;99.5;9;11.06;1.75;10.4;7;
2888;RB;Bell, Le'Veon;pit;;H;0;0;99.2;6;16.53;0;0;11;
5287;WR;Snead, Willie;no;;H;0;-6500;99.1;10;9.91;0;0;11;
7020;D;New York G;nyg;;H;0;-4500;98;10;9.8;0;7;11;
4582;TE;Kelce, Travis;kan;sdg;A;5700;-100;97.9;9;10.88;1.91;6.1;9;
2707;RB;McCoy, LeSean;buf;ne;A;7500;100;97.5;7;13.93;1.86;18.4;8;
3679;WR;Jones, James;gb;min;A;5200;-500;96.3;9;10.7;2.06;0;7;
6224;K;Santos, Cairo;kan;sdg;A;5000;500;96;9;10.67;2.13;21;9;
2612;RB;Stewart, Jonathan;car;was;H;7000;400;95.5;9;10.61;1.52;15.1;5;
2645;RB;Johnson, Chris;ari;cin;H;6800;0;95.5;9;10.61;1.56;5.8;9;
1413;QB;Foles, Nick;stl;bal;A;6300;-100;95.12;9;10.57;1.68;7;6;
4573;TE;Reed, Jordan;was;car;A;5800;0;94.2;7;13.46;2.32;16.4;8;
4292;TE;Watson, Ben;no;;H;0;-5500;94.1;10;9.41;0;3.4;11;
2754;RB;Mathews, Ryan;phi;tam;H;5300;-300;93.6;9;10.4;1.96;11;8;
4360;TE;Walker, Delanie;ten;jac;A;5700;-200;93.3;8;11.66;2.05;6.7;4;
2603;RB;McFadden, Darren;dal;mia;A;6800;-200;92.6;9;10.29;1.51;7.3;6;
5344;WR;Moncrief, Donte;ind;atl;A;6100;6100;92.4;9;10.27;1.68;0;10;
3830;WR;Maclin, Jeremy;kan;sdg;A;6300;-200;92.3;8;11.54;1.83;3.2;9;
5264;WR;Brown, John;ari;cin;H;5700;-400;92;8;11.5;2.02;0;9;
6167;K;Hauschka, Steven;sea;sfo;H;5000;0;91;9;10.11;2.02;9;9;
6204;K;Walsh, Blair;min;gb;H;4900;0;91;9;10.11;2.06;12;5;
7023;D;Philadelphia;phi;tam;H;4900;200;91;9;10.11;2.06;7;8;
7025;D;St. Louis;stl;bal;A;5000;-400;91;9;10.11;2.02;2;6;
5254;WR;Matthews, Jordan;phi;tam;H;6300;-300;90.7;9;10.08;1.6;3.6;8;
2629;RB;Charles, Jamaal;kan;sdg;A;0;0;90.6;5;18.12;0;0;9;
5253;WR;Evans, Mike;tam;phi;A;8000;300;90.4;8;11.3;1.41;16.6;6;
6227;K;McManus, Brandon;den;chi;A;4800;0;90;9;10;2.08;1;7;
2993;RB;Yeldon, T.J.;jac;ten;H;6400;-100;89.6;8;11.2;1.75;9.2;8;
2997;RB;Johnson, Duke;cle;;H;0;-5900;89.1;10;8.91;0;4.8;11;
6172;K;Gano, Graham;car;was;H;4800;100;89;9;9.89;2.06;10;5;
2777;RB;Starks, James;gb;min;A;6200;200;88.2;9;9.8;1.58;12.6;7;
5372;RB;Williams, Karlos;buf;ne;A;5700;-400;88.2;6;14.7;2.58;11.5;8;
7005;D;Carolina;car;was;H;4900;200;88;9;9.78;2;9;5;
6096;K;Gould, Robbie;chi;den;H;4600;0;87;8;10.88;2.36;13;7;
6206;K;Tucker, Justin;bal;stl;H;4900;0;87;9;9.67;1.97;2;9;
7001;D;Arizona;ari;cin;H;4800;100;87;9;9.67;2.01;6;9;
2830;RB;Vereen, Shane;nyg;;H;0;-5800;86.9;10;8.69;0;3.6;11;
5148;WR;Floyd, Michael;ari;cin;H;6400;500;86.7;9;9.63;1.51;26.8;9;
6229;K;Catanzaro, Chandler;ari;cin;H;4700;0;86;9;9.56;2.03;15;9;
5367;WR;Bryant, Martavis;pit;;H;0;-6500;85.1;5;17.02;0;24.8;11;
5158;WR;Randle, Rueben;nyg;;H;0;-5700;85;10;8.5;0;6.6;11;
7024;D;Pittsburgh;pit;;H;0;-4600;85;10;8.5;0;16;11;
5136;WR;Baldwin, Doug;sea;sfo;H;5400;0;84.9;9;9.43;1.75;22.9;9;
3754;WR;Garcon, Pierre;was;car;A;6000;-400;82.5;9;9.17;1.53;2;8;
4407;TE;Bennett, Martellus;chi;den;H;5200;-200;81.9;9;9.1;1.75;3.3;7;
4492;TE;Graham, Jimmy;sea;sfo;H;5800;-200;81.6;9;9.07;1.56;5.6;9;
5153;WR;Jeffery, Alshon;chi;den;H;7500;-100;81.5;5;16.3;2.17;3.8;7;
5371;RB;Langford, Jeremy;chi;den;H;6700;500;81.5;8;10.19;1.52;33.7;7;
5168;WR;Jones, Marvin;cin;ari;A;5400;0;81.3;9;9.03;1.67;5.6;7;
6194;K;Bailey, Dan;dal;mia;A;4600;0;80;9;8.89;1.93;9;6;
5424;WR;Diggs, Stefon;min;gb;H;6700;100;79.6;6;13.27;1.98;6.6;5;
2856;RB;Hillman, Ronnie;den;chi;A;6200;300;79.2;9;8.8;1.42;12.1;7;
4262;TE;Witten, Jason;dal;mia;A;5500;-100;79;9;8.78;1.6;6.7;6;
2987;RB;West, Charcandrick;kan;sdg;A;7100;700;78.8;7;11.26;1.59;29.6;9;
3552;RB;Jones, Matt;was;car;A;6100;500;78.2;8;9.78;1.6;26.2;8;
6233;K;Lambo, Josh;sdg;kan;H;4700;4700;78;9;8.67;1.84;0;10;
2928;RB;Hill, Jeremy;cin;ari;A;6500;-100;77.9;9;8.66;1.33;3.5;7;
2658;RB;Jennings, Rashad;nyg;;H;0;-5300;77.2;10;7.72;0;6.1;11;
7015;D;Kansas City;kan;sdg;A;4400;100;77;9;8.56;1.94;19;9;
3581;WR;Washington, Nate;hou;nyj;H;5600;400;76.3;6;12.72;2.27;4.2;9;
2552;RB;Lynch, Marshawn;sea;sfo;H;8100;100;76.2;7;10.89;1.34;11.5;9;
2907;RB;Riddick, Theo;det;oak;H;5100;-200;76.2;9;8.47;1.66;4.1;9;
2933;RB;Hyde, Carlos;sfo;sea;A;6000;6000;75.8;7;10.83;1.8;0;10;
3670;WR;Ginn Jr., Ted;car;was;H;5200;100;75.6;9;8.4;1.62;6.5;5;
4629;TE;Rodgers, Richard;gb;min;A;5400;0;75.2;9;8.36;1.55;11.7;7;
7018;D;New England;ne;buf;H;4800;-100;75;9;8.33;1.74;5;4;
2931;RB;Sims, Charles;tam;phi;A;5200;-200;74.3;9;8.26;1.59;4.1;6;
5130;WR;Harris, Dwayne;nyg;;H;0;-5100;74;10;7.4;0;17.2;11;
6209;K;Hopkins, Dustin;was;car;A;4500;0;74;8;9.25;2.06;18;8;
5395;RB;Johnson, David;ari;cin;H;4800;0;74;9;8.22;1.71;1.3;9;
7017;D;Minnesota;min;gb;H;4300;-200;74;9;8.22;1.91;13;5;
3851;WR;Amendola, Danny;ne;buf;H;6100;900;73.4;9;8.16;1.34;12.9;4;
6048;K;Janikowski, Sebastian;oak;det;A;4600;0;73;9;8.11;1.76;2;6;
4562;TE;Green, Ladarius;sdg;kan;H;5200;5200;72.9;7;10.41;2;0;10;
4543;TE;Clay, Charles;buf;ne;A;5200;-200;72.8;9;8.09;1.56;7.7;8;
3995;WR;Tate, Golden;det;oak;H;6200;-100;71.4;9;7.93;1.28;8.3;9;
6071;K;Bryant, Matt;atl;ind;H;5000;5000;71;9;7.89;1.58;0;10;
6093;K;Nugent, Mike;cin;ari;A;4600;0;71;9;7.89;1.71;7;7;
7007;D;Cincinnati;cin;ari;A;4700;-300;71;9;7.89;1.68;9;7;
3547;WR;Floyd, Malcom;sdg;kan;H;0;0;69.4;9;7.71;0;0;10;
5410;WR;Crowder, Jamison;was;car;A;5800;200;69.4;9;7.71;1.33;14;8;
6205;K;Zuerlein, Greg;stl;bal;A;4600;100;69;9;7.67;1.67;7;6;
2900;RB;Randle, Joseph;dal;mia;A;0;0;69;6;11.5;0;0;6;
7004;D;Buffalo;buf;ne;A;4400;-400;69;9;7.67;1.74;16;8;
7021;D;New York J;nyj;hou;A;4700;-100;69;9;7.67;1.63;5;5;
7029;D;Tampa Bay;tam;phi;A;4000;0;69;9;7.67;1.92;12;6;
5162;WR;Wright, Kendall;ten;jac;A;5300;-200;68.4;7;9.77;1.84;0;4;
2969;RB;Crowell, Isaiah;cle;;H;0;-5300;68.2;10;6.82;0;0.4;11;
6163;K;Carpenter, Dan;buf;ne;A;4700;100;68;9;7.56;1.61;12;8;
4411;TE;Tamme, Jacob;atl;ind;H;5300;5300;68;8;8.5;1.6;0;10;
6232;K;Coons, Travis;cle;;H;0;-4500;67;10;6.7;0;3;11;
6236;K;Myers, Jason;jac;ten;H;4700;100;67;9;7.44;1.58;13;8;
