Washington,D,7,4000
Heath Miller,TE,6.1,5800
Larry Donnell,TE,6.1,5100
Matt Jones,RB,8.1,5800
Mike Wallace,WR,6.89,5300
Dan Carpenter,K,6.86,4600
Jamison Crowder,WR,6.77,5700
Antonio Gates,TE,15.77,6000
Richard Rodgers,TE,6.73,4800
Indianapolis,D,5.88,4100
Tennessee,D,6.71,4100
Buffalo,D,6.57,4700
Chris Hogan,WR,7.61,5100
Marquess Wilson,WR,6.46,4800
Greg Zuerlein,K,6.43,4500
Oakland,D,6.43,4200
Chris Thompson,RB,7.42,5500
Antonio Andrews,RB,8.78,5700
New Orleans,D,5.38,4200
Kyle Rudolph,TE,6.07,4800
Jason Myers,K,6,4600
Jacksonville,D,6,4300
Darrius Heyward-Bey,WR,5.91,4900
E.J. Manuel,QB,13.75,6600
Jordan Cameron,TE,5.89,5200
Corey Brown,WR,5.8,4700
Percy Harvin,WR,8.08,5000
Markus Wheaton,WR,5.03,4800
Caleb Sturgis,K,9.75,5000
Zach Ertz,TE,5.57,5000
Brandon Weeden,QB,9.64,6400
Brian Hartline,WR,4.78,5200
Connor Barth,K,12.67,4800
Riley Cooper,WR,7.6,5300
Mohamed Sanu,WR,5.34,4900
Bishop Sankey,RB,5.31,4600
Ryan Succop,K,5.29,4500
Alfred Morris,RB,5.16,5400
Eddie Royal,WR,6,4900
Andrew Franks,K,5.14,4500
San Francisco,D,4.5,4000
Roddy White,WR,5,5300
Chris Boswell,K,8.75,4500
Ty Montgomery,WR,5.75,5600
Kenny Britt,WR,4.91,4800
Jared Cook,TE,4.86,5200
Owen Daniels,TE,4.77,4700
Mike Tolbert,RB,4.74,5200
Kenny Stills,WR,5.5,4500
Andrew Hawkins,WR,4.67,4800
Sammy Watkins,WR,8.05,6200
Michael Vick,QB,6.35,6500
Andre Holmes,WR,5.28,5100
Matt Hasselbeck,QB,15.8,6100
Benny Cunningham,RB,4.5,4900
Taylor Gabriel,WR,3.86,5000
Jeremy Kerley,WR,5.13,5100
Miles Austin,WR,4.29,5200
