Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
4;2015;1231;Rivers, Philip;QB;sdg;h;cle;26.22;7400
4;2015;1344;Bradford, Sam;QB;phi;a;was;24.2;7100
4;2015;1151;Brees, Drew;QB;nor;h;dal;22.36;8400
4;2015;1175;McCown, Josh;QB;cle;a;sdg;22.24;6400
4;2015;1415;Cousins, Kirk;QB;was;h;phi;21.7;6100
4;2015;1225;Manning, Eli;QB;nyg;a;buf;19.28;7800
4;2015;1442;Bortles, Blake;QB;jac;a;ind;19.02;6800
4;2015;1413;Foles, Nick;QB;stl;a;ari;18.74;6300
4;2015;1403;Dalton, Andy;QB;cin;h;kan;18.44;7600
4;2015;1263;Cutler, Jay;QB;chi;h;oak;18.24;7200
4;2015;1254;Smith, Alex;QB;kan;a;cin;17.94;6500
4;2015;1336;Hoyer, Brian;QB;hou;a;atl;17.28;6300
4;2015;1207;Palmer, Carson;QB;ari;h;stl;16.98;8200
4;2015;1465;Winston, Jameis;QB;tam;h;car;16.68;6400
4;2015;1252;Rodgers, Aaron;QB;gnb;a;sfo;16.26;9200
4;2015;1378;Newton, Cam;QB;car;a;tam;16.06;8300
4;2015;1412;Wilson, Russell;QB;sea;h;det;15.48;8200
4;2015;1400;Taylor, Tyrod;QB;buf;h;nyg;15.46;7600
4;2015;1060;Hasselbeck, Matt;QB;ind;h;jac;15.38;4800
4;2015;1242;Fitzpatrick, Ryan;QB;nyj;a;mia;15.12;6900
4;2015;1439;Bridgewater, Teddy;QB;min;a;den;15.06;6500
4;2015;1441;Carr, Derek;QB;oak;a;chi;14.84;7000
4;2015;1411;Weeden, Brandon;QB;dal;a;nor;14.34;6400
4;2015;1410;Tannehill, Ryan;QB;mia;h;nyj;14.32;7700
4;2015;1301;Ryan, Matt;QB;atl;h;hou;14.14;8400
4;2015;1155;Vick, Michael;QB;pit;h;bal;12.26;6700
4;2015;1404;Kaepernick, Colin;QB;sfo;h;gnb;11.1;7500
4;2015;1081;Manning, Peyton;QB;den;h;min;10.32;8200
4;2015;1302;Flacco, Joe;QB;bal;a;pit;8.56;8000
4;2015;1340;Stafford, Matthew;QB;det;a;sea;8.12;7000
4;2015;1401;Mallett, Ryan;QB;hou;a;atl;5;6300
4;2015;1227;McCown, Luke;QB;nor;h;dal;0;5800
4;2015;5071;Webb, Joe;QB;car;a;tam;0;4800
4;2015;1423;Renfree, Sean;QB;atl;h;hou;-0.4;4800
4;2015;2930;Freeman, Devonta;RB;atl;h;hou;35.4;7200
4;2015;2888;Bell, Le'Veon;RB;pit;h;bal;24.5;8900
4;2015;2928;Hill, Jeremy;RB;cin;h;kan;24;6700
4;2015;2858;Martin, Doug;RB;tam;h;car;22.8;6400
4;2015;2741;Ivory, Chris;RB;nyj;a;mia;22.6;6900
4;2015;2997;Johnson, Duke;RB;cle;a;sdg;22.1;5400
4;2015;2775;Spiller, C.J.;RB;nor;h;dal;19.4;5500
4;2015;2629;Charles, Jamaal;RB;kan;a;cin;17.5;8700
4;2015;2553;Peterson, Adrian;RB;min;a;den;17.4;9000
4;2015;2856;Hillman, Ronnie;RB;den;h;min;17.3;6300
4;2015;2992;Gurley, Todd;RB;stl;a;ari;17.1;5900
4;2015;2658;Jennings, Rashad;RB;nyg;a;buf;16.2;6000
4;2015;2689;Woodhead, Danny;RB;sdg;h;cle;15.8;6100
4;2015;2793;Ingram, Mark;RB;nor;h;dal;15.8;8100
4;2015;2613;Forte, Matt;RB;chi;h;oak;15.5;8300
4;2015;5375;Ward, Terron;RB;atl;h;hou;15.5;4500
4;2015;2642;Forsett, Justin;RB;bal;a;pit;15;6700
4;2015;5372;Williams, Karlos;RB;buf;h;nyg;14.5;6300
4;2015;5395;Johnson, David;RB;ari;h;stl;14.1;5500
4;2015;2969;Crowell, Isaiah;RB;cle;a;sdg;14;6400
4;2015;2931;Sims, Charles;RB;tam;h;car;12.8;5700
4;2015;2879;Polk, Chris;RB;hou;a;atl;12.5;5100
4;2015;2889;Bernard, Giovani;RB;cin;h;kan;12.2;6700
4;2015;2993;Yeldon, T.J.;RB;jac;a;ind;11.9;6400
4;2015;2645;Johnson, Chris;RB;ari;h;stl;10.9;6700
4;2015;2813;Helu, Roy;RB;oak;a;chi;10.5;5400
4;2015;2896;Lacy, Eddie;RB;gnb;a;sfo;9.8;7800
4;2015;2902;Stacy, Zac;RB;nyj;a;mia;9.5;5000
4;2015;2467;Gore, Frank;RB;ind;h;jac;9.2;7300
4;2015;2920;Robinson, Khiry;RB;nor;h;dal;9.1;4800
4;2015;2915;Thompson, Chris;RB;was;h;phi;8.7;5100
4;2015;2900;Randle, Joseph;RB;dal;a;nor;8.6;7400
4;2015;2924;Anderson, C.J.;RB;den;h;min;7.5;6900
4;2015;2871;Morris, Alfred;RB;was;h;phi;7.5;6200
4;2015;2549;Kuhn, John;RB;gnb;a;sfo;7.4;4500
4;2015;2520;Jackson, Fred;RB;sea;h;det;6.4;6100
4;2015;2907;Riddick, Theo;RB;det;a;sea;6.1;5000
4;2015;2831;Murray, DeMarco;RB;phi;a;was;5.8;7600
4;2015;2899;Murray, Latavius;RB;oak;a;chi;5.6;7500
4;2015;2991;Gordon, Melvin;RB;sdg;h;cle;5.6;6800
4;2015;2934;Williams, Andre;RB;nyg;a;buf;5.5;5400
4;2015;2880;Dunbar, Lance;RB;dal;a;nor;5.4;5600
4;2015;2995;Abdullah, Ameer;RB;det;a;sea;5.4;6100
4;2015;5402;Rawls, Thomas;RB;sea;h;det;5.2;6000
4;2015;2612;Stewart, Jonathan;RB;car;a;tam;5;6300
4;2015;2777;Starks, James;RB;gnb;a;sfo;4.9;6400
4;2015;2859;Miller, Lamar;RB;mia;h;nyj;4.1;6400
4;2015;2890;Burkhead, Rex;RB;cin;h;kan;3.2;4500
4;2015;2603;McFadden, Darren;RB;dal;a;nor;3.1;6000
4;2015;2696;Foster, Arian;RB;hou;a;atl;3;8000
4;2015;2730;Dixon, Anthony;RB;buf;h;nyg;3;4500
4;2015;2975;Taliaferro, Lorenzo;RB;bal;a;pit;2.9;5200
4;2015;2933;Hyde, Carlos;RB;sfo;h;gnb;2.7;7400
4;2015;2665;Reece, Marcel;RB;oak;a;chi;2.6;4800
4;2015;2987;West, Charcandrick;RB;kan;a;cin;2.6;0
4;2015;2999;Artis-Payne, Cameron;RB;car;a;tam;2.5;4900
4;2015;2830;Vereen, Shane;RB;nyg;a;buf;2.1;5800
4;2015;5370;Allen, Javorius;RB;bal;a;pit;1.9;5100
4;2015;5397;Zenner, Zach;RB;det;a;sea;1.8;4500
4;2015;2819;Powell, Bilal;RB;nyj;a;mia;1.7;5500
4;2015;2960;Blue, Alfred;RB;hou;a;atl;1.7;6400
4;2015;2484;Sproles, Darren;RB;phi;a;was;1.7;6000
4;2015;2916;Whittaker, Fozzy;RB;car;a;tam;1.5;4700
4;2015;2911;Cunningham, Benny;RB;stl;a;ari;1.4;5400
4;2015;2495;Bush, Reggie;RB;sfo;h;gnb;1.1;5300
4;2015;3552;Jones, Matt;RB;was;h;phi;1.1;6300
4;2015;2875;Draughn, Shaun;RB;cle;a;sdg;1;4500
4;2015;2824;Clutts, Tyler;RB;dal;a;nor;0.9;0
4;2015;5415;Burton, Michael;RB;det;a;sea;0.8;
4;2015;2908;Juszczyk, Kyle;RB;bal;a;pit;0.8;4500
4;2015;2647;Tolbert, Mike;RB;car;a;tam;0.7;4800
4;2015;2957;Williams, Damien;RB;mia;h;nyj;0.6;5400
4;2015;2935;McKinnon, Jerick;RB;min;a;den;0.6;5000
4;2015;2500;Williams, DeAngelo;RB;pit;h;bal;0.5;6000
4;2015;5371;Langford, Jeremy;RB;chi;h;oak;0.4;4700
4;2015;2818;Rodgers, Jacquizz;RB;chi;h;oak;0.3;4500
4;2015;2873;Asiata, Matt;RB;min;a;den;0.3;4700
4;2015;5423;Harris, Alonzo;RB;gnb;a;sfo;0;5000
4;2015;2754;Mathews, Ryan;RB;phi;a;was;0;5900
4;2015;2834;Miller, Bruce;RB;sfo;h;gnb;0;4500
4;2015;2976;Darkwa, Orleans;RB;nyg;a;buf;0;4500
4;2015;5401;Hayne, Jarryd;RB;sfo;h;gnb;0;4500
4;2015;2791;Young, Darrel;RB;was;h;phi;0;4500
4;2015;2840;Todman, Jordan;RB;pit;h;bal;0;4700
4;2015;5396;Murphy, Marcus;RB;nor;h;dal;0;4500
4;2015;2887;Barner, Kenjon;RB;phi;a;was;0;4500
4;2015;2953;Gray, Jonas;RB;mia;h;nyj;0;5000
4;2015;2903;Taylor, Stepfan;RB;ari;h;stl;0;4500
4;2015;2910;Bohanon, Tommy;RB;nyj;a;mia;0;4500
4;2015;2863;Rainey, Bobby;RB;tam;h;car;0;4600
4;2015;5271;Archer, Dri;RB;pit;h;bal;0;5100
4;2015;2878;Lane, Jorvorskie;RB;tam;h;car;0;4500
4;2015;2965;Thompson, Juwan;RB;den;h;min;0;4900
4;2015;2982;Oliver, Branden;RB;sdg;h;cle;0;4700
4;2015;2805;DiMarco, Patrick;RB;atl;h;hou;0;4500
4;2015;2692;Peerman, Cedric;RB;cin;h;kan;0;4500
4;2015;2909;Coleman, Derrick;RB;sea;h;det;0;4500
4;2015;2891;Davis, Knile;RB;kan;a;cin;0;5400
4;2015;2861;Pierce, Bernard;RB;jac;a;ind;0;4500
4;2015;2898;Michael, Christine;RB;dal;a;nor;-0.1;4500
4;2015;2932;Mason, Tre;RB;stl;a;ari;-0.1;6000
4;2015;2913;Olawale, Jamize;RB;oak;a;chi;-0.1;0
4;2015;2917;Wood, Cierre;RB;buf;h;nyg;-0.1;0
4;2015;2736;Gerhart, Toby;RB;jac;a;ind;-0.2;4900
4;2015;5398;Robinson, Josh;RB;ind;h;jac;-1.8;4900
4;2015;5199;Austin, Tavon;WR;stl;a;ari;26.6;5300
4;2015;3550;Jackson, Vincent;WR;tam;h;car;25.7;6800
4;2015;5341;Hurns, Allen;WR;jac;a;ind;23.1;5300
4;2015;3830;Maclin, Jeremy;WR;kan;a;cin;20.3;6500
